barrier_idx,perturbation,param_value,output,output_change,output_change_pct
1,-0.020000000000000018,0.539,1.7649150750000004e-05,-3.601867499999991e-07,-1.999999999999995
1,0.0,0.55,1.8009337500000003e-05,0.0,0.0
1,0.01999999999999999,0.561,1.8369524250000002e-05,3.601867499999991e-07,1.999999999999995
1,0.03999999999999998,0.5720000000000001,1.8729710999999998e-05,7.203734999999948e-07,3.999999999999971
1,0.06,0.5830000000000001,1.908989775e-05,1.0805602499999973e-06,5.999999999999985
1,0.08000000000000002,0.5940000000000001,1.94500845e-05,1.4407469999999965e-06,7.99999999999998
1,0.09999999999999998,0.6050000000000001,1.981027125e-05,1.8009337499999956e-06,9.999999999999973
1,0.12,0.6160000000000001,2.0170458000000005e-05,2.1611205000000015e-06,12.000000000000007
1,0.14,0.6270000000000001,2.053064475e-05,2.521307249999997e-06,13.999999999999982
1,0.15999999999999998,0.638,2.0890831500000003e-05,2.8814939999999997e-06,15.999999999999995
1,0.18,0.649,2.1251018250000002e-05,3.241680749999999e-06,17.99999999999999
1,0.2,0.66,2.1611204999999998e-05,3.6018674999999945e-06,19.999999999999964
2,-0.2,0.36000000000000004,1.4407470000000004e-05,-3.6018674999999996e-06,-19.999999999999996
2,-0.18000000000000002,0.369,1.4767656750000001e-05,-3.241680750000002e-06,-18.000000000000007
2,-0.16,0.378,1.51278435e-05,-2.881494000000003e-06,-16.000000000000014
2,-0.14,0.387,1.5488030250000003e-05,-2.5213072500000006e-06,-14.000000000000002
2,-0.12000000000000001,0.396,1.5848217000000005e-05,-2.161120499999998e-06,-11.999999999999988
2,-0.1,0.405,1.620840375e-05,-1.8009337500000023e-06,-10.000000000000012
2,-0.08000000000000002,0.414,1.65685905e-05,-1.4407470000000032e-06,-8.000000000000016
2,-0.06,0.423,1.6928777250000002e-05,-1.0805602500000007e-06,-6.0000000000000036
2,-0.04000000000000001,0.432,1.7288963999999998e-05,-7.20373500000005e-07,-4.0000000000000275
2,-0.020000000000000018,0.441,1.7649150750000004e-05,-3.601867499999991e-07,-1.999999999999995
2,0.0,0.45,1.8009337500000003e-05,0.0,0.0
2,0.01999999999999999,0.459,1.8369524250000002e-05,3.601867499999991e-07,1.999999999999995
2,0.03999999999999998,0.468,1.8729710999999998e-05,7.203734999999948e-07,3.999999999999971
2,0.06,0.47700000000000004,1.908989775e-05,1.0805602499999973e-06,5.999999999999985
2,0.08000000000000002,0.48600000000000004,1.94500845e-05,1.4407469999999965e-06,7.99999999999998
2,0.09999999999999998,0.49500000000000005,1.981027125e-05,1.8009337499999956e-06,9.999999999999973
2,0.12,0.5040000000000001,2.0170458000000005e-05,2.1611205000000015e-06,12.000000000000007
2,0.14,0.5130000000000001,2.0530644750000004e-05,2.5213072500000006e-06,14.000000000000002
2,0.15999999999999998,0.522,2.0890831500000003e-05,2.8814939999999997e-06,15.999999999999995
